,distance (m),,,
time (s),0,1,3,5
0,0.46758,0.59739,0.60186,0.59779
0.0012642,0.41134,0.57122,0.59008,0.59468
0.0025284,0.36632,0.47353,0.49324,0.49584
0.0037927,0.31904,0.51215,0.52663,0.52782
0.0050569,0.38804,0.54966,0.55911,0.57056
0.0063211,0.35109,0.51448,0.52313,0.52518
0.0075853,0.33177,0.49181,0.50708,0.51628
0.0088496,0.32421,0.53539,0.55221,0.54626
0.010114,0.3528,0.5285,0.53639,0.53814
0.011378,0.33902,0.49216,0.51177,0.50499
0.012642,0.31146,0.51882,0.53739,0.53766
0.013906,0.3301,0.52612,0.53918,0.53856
0.015171,0.33842,0.50706,0.52236,0.51856
0.016435,0.32991,0.50953,0.52227,0.51858
0.017699,0.31928,0.51369,0.53332,0.53278
0.018963,0.32436,0.51241,0.52423,0.52836
0.020228,0.32975,0.50839,0.52512,0.52748
0.021492,0.32976,0.50708,0.52939,0.52647
0.022756,0.32114,0.50774,0.52531,0.52463
0.02402,0.33389,0.50334,0.51887,0.51468
0.025284,0.31994,0.50679,0.53003,0.51825
0.026549,0.3295,0.50837,0.53341,0.52552
0.027813,0.3236,0.51113,0.52629,0.51916
0.029077,0.32856,0.5012,0.51616,0.52602
0.030341,0.32328,0.49523,0.52073,0.52109
0.031606,0.32323,0.50704,0.52457,0.51731
0.03287,0.32451,0.50706,0.52732,0.51951
0.034134,0.32184,0.50225,0.51795,0.51568
0.035398,0.31953,0.49917,0.51284,0.51799
0.036662,0.32044,0.50709,0.52221,0.51738
0.037927,0.32424,0.50634,0.51832,0.52813
0.039191,0.32216,0.50277,0.5237,0.52118
0.040455,0.32081,0.49494,0.52562,0.51243
0.041719,0.31537,0.49625,0.51812,0.51852
0.042984,0.31549,0.49949,0.52325,0.51988
0.044248,0.32152,0.49947,0.5263,0.52125
0.045512,0.31859,0.50422,0.51621,0.51869
0.046776,0.3154,0.495,0.51606,0.51483
0.04804,0.31385,0.50011,0.51622,0.50909
0.049305,0.31656,0.49984,0.51956,0.5178
0.050569,0.32596,0.50225,0.52028,0.52317
0.051833,0.32239,0.49913,0.5216,0.51011
0.053097,0.31361,0.49681,0.51151,0.51269
0.054362,0.30998,0.49927,0.51668,0.51578
0.055626,0.31321,0.50168,0.51502,0.52204
0.05689,0.31911,0.4944,0.51689,0.52004
0.058154,0.31986,0.50289,0.51111,0.52058
0.059418,0.31396,0.49002,0.51035,0.50819
0.060683,0.31499,0.49594,0.51767,0.51707
0.061947,0.32031,0.49757,0.51067,0.52553
0.063211,0.31791,0.4899,0.50958,0.51272
0.064475,0.32011,0.48998,0.50913,0.51113
0.06574,0.31281,0.49361,0.50567,0.52063
0.067004,0.31785,0.49774,0.50526,0.5172
0.068268,0.3152,0.49405,0.51528,0.51008
0.069532,0.31968,0.49679,0.51125,0.51379
0.070796,0.31353,0.48772,0.50785,0.51029
0.072061,0.3105,0.49236,0.50284,0.51427
0.073325,0.31061,0.4941,0.51103,0.51456
0.074589,0.31887,0.47877,0.50515,0.51181
0.075853,0.31446,0.49342,0.50787,0.51204
0.077118,0.31365,0.48792,0.49982,0.50865
0.078382,0.31131,0.48886,0.50513,0.51979
0.079646,0.30646,0.49324,0.50444,0.51166
0.08091,0.30815,0.48587,0.50187,0.50958
0.082174,0.31193,0.48593,0.50275,0.51135
0.083439,0.30613,0.48496,0.50486,0.51098
0.084703,0.31244,0.48937,0.50603,0.50975
0.085967,0.31661,0.49817,0.5068,0.51249
0.087231,0.31108,0.48771,0.50659,0.50832
0.088496,0.31145,0.48389,0.49943,0.51277
0.08976,0.30312,0.48118,0.49635,0.50598
0.091024,0.31252,0.4883,0.49951,0.51136
0.092288,0.30765,0.48187,0.5022,0.51036
0.093552,0.31329,0.48995,0.50233,0.49539
0.094817,0.30397,0.47484,0.49435,0.50677
0.096081,0.30807,0.48398,0.50321,0.50543
0.097345,0.31224,0.48645,0.5005,0.50127
0.098609,0.3115,0.48002,0.49762,0.50413
